sbp,dbp,cp,sut,dt,dt10,st10_p_dt10,st10_d_dt10,dt25,st25_p_dt25,st25_d_dt25,dt33,st33_p_dt33,st33_d_dt33,dt50,st50_p_dt50,st50_d_dt50,dt66,st66_p_dt66,st66_d_dt66,dt75,st75_p_dt75,st75_d_dt75
195.0636,73.55551,0.888,0.176,0.592,0.408,0.528,3.4,0.304,0.408,2.923077,0.256,0.352,2.666667,0.184,0.264,2.3,0.152,0.216,2.375,0.128,0.184,2.285714
99.5809,67.6406,0.896,0.208,0.688,0.456,0.64,2.47826,0.376,0.504,2.9375,0.344,0.464,2.86667,0.232,0.336,2.23077,0.144,0.232,1.63636,0.112,0.192,1.4
67.9786,63.0355,0.88,0.208,0.768,0.72,0.84,6,0.552,0.656,5.30769,0.368,0.464,3.83333,0.168,0.248,2.1,0.128,0.192,2,0.104,0.16,1.85714
142.4636,98.48242,0.896,0.112,0.48,0.368,0.456,4.181818,0.28,0.36,3.5,0.184,0.256,2.555556,0.136,0.2,2.125,0.104,0.152,2.166667,0.088,0.128,2.2
99.0317,60.4583,0.904,0.416,0.576,0.408,0.56,2.68421,0.312,0.432,2.6,0.264,0.376,2.35714,0.176,0.272,1.83333,0.136,0.216,1.7,0.12,0.192,1.66667
161.7292,93.24354,0.904,0.328,0.576,0.408,0.536,3.1875,0.32,0.432,2.857143,0.272,0.376,2.615385,0.176,0.264,2,0.136,0.208,1.888889,0.112,0.176,1.75
96.37,66.4154,0.896,0.328,0.52,0.408,0.528,3.4,0.32,0.424,3.07692,0.272,0.368,2.83333,0.168,0.248,2.1,0.128,0.192,2,0.104,0.16,1.85714
141.3651,56.9939,0.68,0.136,0.552,0.448,0.544,4.666667,0.16,0.24,2,0.136,0.216,1.7,0.104,0.168,1.625,0.08,0.128,1.666667,0.064,0.104,1.6
66.9224,59.8668,0.448,0.128,0.32,0.2,0.296,2.08333,0.128,0.208,1.6,0.12,0.192,1.66667,0.096,0.16,1.5,0.072,0.12,1.5,0.056,0.104,1.16667
126.4935,56.9939,0.424,0.128,0.296,0.168,0.256,1.909091,0.096,0.176,1.2,0.096,0.168,1.333333,0.072,0.136,1.125,0.056,0.104,1.166667,0.048,0.088,1.2
60.7963,56.9939,0.504,0.128,0.376,0.16,0.256,1.66667,0.128,0.2,1.77778,0.12,0.184,1.875,0.096,0.152,1.71429,0.072,0.112,1.8,0.064,0.104,1.6
127.2117,57.45864,0.48,0.128,0.352,0.216,0.312,2.25,0.152,0.232,1.9,0.136,0.208,1.888889,0.112,0.168,2,0.088,0.136,1.833333,0.072,0.112,1.8
58.3459,56.9939,0.464,0.128,0.336,0.224,0.312,2.54545,0.144,0.224,1.8,0.128,0.2,1.77778,0.104,0.16,1.85714,0.08,0.128,1.66667,0.064,0.104,1.6
136.929,56.9939,0.48,0.128,0.344,0.208,0.296,2.363636,0.12,0.2,1.5,0.112,0.184,1.555556,0.088,0.144,1.571429,0.072,0.12,1.5,0.056,0.096,1.4
62.4018,56.9939,0.512,0.136,0.384,0.24,0.336,2.5,0.152,0.232,1.9,0.136,0.208,1.88889,0.112,0.176,1.75,0.088,0.136,1.83333,0.072,0.112,1.8
140.7737,56.9939,0.488,0.128,0.36,0.208,0.296,2.363636,0.16,0.24,2,0.152,0.224,2.111111,0.112,0.168,2,0.088,0.128,2.2,0.072,0.112,1.8
62.1483,56.9939,0.472,0.128,0.336,0.2,0.296,2.08333,0.136,0.208,1.88889,0.12,0.192,1.66667,0.096,0.152,1.71429,0.072,0.12,1.5,0.064,0.104,1.6
132.1126,56.9939,0.504,0.136,0.368,0.168,0.264,1.75,0.136,0.216,1.7,0.12,0.192,1.666667,0.096,0.16,1.5,0.072,0.12,1.5,0.064,0.104,1.6
60.4583,56.9939,0.504,0.136,0.376,0.232,0.328,2.41667,0.168,0.248,2.1,0.152,0.224,2.11111,0.12,0.176,2.14286,0.088,0.136,1.83333,0.072,0.112,1.8
132.3661,57.1629,0.504,0.128,0.368,0.24,0.328,2.727273,0.152,0.224,2.111111,0.136,0.2,2.125,0.104,0.16,1.857143,0.08,0.128,1.666667,0.064,0.104,1.6
165.6583,59.86683,0.936,0.304,0.544,0.384,0.504,3.2,0.288,0.392,2.769231,0.224,0.32,2.333333,0.16,0.24,2,0.136,0.208,1.888889,0.12,0.184,1.875
95.9052,95.6517,0.912,0.392,0.576,0.384,0.504,3.2,0.296,0.4,2.84615,0.248,0.344,2.58333,0.176,0.256,2.2,0.144,0.208,2.25,0.12,0.176,2.14286
172.2492,56.9939,0.904,0.336,0.544,0.384,0.496,3.428571,0.296,0.392,3.083333,0.248,0.336,2.818182,0.184,0.256,2.555556,0.152,0.216,2.375,0.136,0.192,2.428571
98.9894,98.9049,0.896,0.36,0.576,0.408,0.528,3.4,0.32,0.416,3.33333,0.272,0.36,3.09091,0.184,0.256,2.55556,0.152,0.208,2.71429,0.136,0.184,2.83333
65.6549,65.4859,0.92,0.32,0.584,0.408,0.52,3.64286,0.312,0.408,3.25,0.256,0.344,2.90909,0.184,0.256,2.55556,0.16,0.224,2.5,0.144,0.2,2.57143
62.275,62.0215,0.904,0.336,0.552,0.4,0.528,3.125,0.304,0.408,2.92308,0.248,0.344,2.58333,0.184,0.264,2.3,0.152,0.224,2.11111,0.136,0.2,2.125
158.5605,58.34587,0.824,0.368,0.584,0.392,0.504,3.5,0.304,0.392,3.454545,0.208,0.288,2.6,0.152,0.224,2.111111,0.12,0.176,2.142857,0.104,0.152,2.166667
92.3986,90.4551,0.856,0.24,0.544,0.4,0.504,3.84615,0.296,0.384,3.36364,0.224,0.304,2.8,0.168,0.232,2.625,0.136,0.184,2.83333,0.112,0.152,2.8
163.1656,60.66956,0.856,0.312,0.528,0.384,0.496,3.428571,0.28,0.376,2.916667,0.208,0.296,2.363636,0.16,0.232,2.222222,0.128,0.192,2,0.112,0.168,2
93.3703,92.1451,0.864,0.328,0.568,0.408,0.512,3.92308,0.312,0.392,3.9,0.248,0.32,3.44444,0.168,0.232,2.625,0.136,0.184,2.83333,0.12,0.16,3
166.2921,61.0498,0.808,0.296,0.512,0.392,0.496,3.769231,0.28,0.368,3.181818,0.216,0.296,2.7,0.168,0.24,2.333333,0.136,0.192,2.428571,0.112,0.16,2.333333
94.4688,94.0463,0.784,0.296,0.512,0.376,0.488,3.35714,0.288,0.384,3,0.224,0.312,2.54545,0.176,0.248,2.44444,0.144,0.2,2.57143,0.12,0.168,2.5
162.2784,60.41607,0.784,0.272,0.528,0.392,0.496,3.769231,0.288,0.376,3.272727,0.216,0.304,2.454545,0.176,0.248,2.444444,0.144,0.2,2.571429,0.12,0.168,2.5
94.342,93.2858,0.8,0.256,0.528,0.392,0.496,3.76923,0.288,0.376,3.27273,0.216,0.296,2.7,0.168,0.24,2.33333,0.128,0.184,2.28571,0.112,0.168,2
89.6101,88.0469,0.92,0.408,0.56,0.4,0.512,3.57143,0.296,0.384,3.36364,0.224,0.304,2.8,0.16,0.224,2.5,0.128,0.184,2.28571,0.104,0.152,2.16667
159.2787,60.03583,0.96,0.36,0.568,0.408,0.528,3.4,0.296,0.392,3.083333,0.232,0.32,2.636364,0.176,0.248,2.444444,0.144,0.208,2.25,0.12,0.176,2.142857
96.4122,96.2432,0.96,0.392,0.584,0.408,0.52,3.64286,0.296,0.392,3.08333,0.232,0.32,2.63636,0.192,0.264,2.66667,0.16,0.216,2.85714,0.136,0.184,2.83333
159.7857,62.10603,0.92,0.376,0.544,0.408,0.52,3.642857,0.312,0.4,3.545455,0.232,0.32,2.636364,0.168,0.24,2.333333,0.128,0.184,2.285714,0.112,0.16,2.333333
149.308,57.03615,0.928,0.376,0.616,0.424,0.536,3.785714,0.272,0.368,2.833333,0.224,0.312,2.545455,0.176,0.248,2.444444,0.144,0.208,2.25,0.128,0.176,2.666667
92.99,91.2156,0.896,0.312,0.576,0.408,0.512,3.92308,0.288,0.376,3.27273,0.224,0.304,2.8,0.176,0.24,2.75,0.144,0.2,2.57143,0.128,0.176,2.66667
62.7398,60.7963,0.88,0.208,0.416,0.36,0.472,3.21429,0.2,0.288,2.27273,0.176,0.256,2.2,0.136,0.208,1.88889,0.104,0.16,1.85714,0.088,0.136,1.83333
141.1539,56.9939,0.528,0.464,0.152,0.144,0.248,1.384615,0.144,0.232,1.636364,0.144,0.224,1.8,0.144,0.208,2.25,0.112,0.168,2,0.088,0.136,1.833333
75.7102,59.9936,0.552,0.376,0.176,0.176,0.272,1.83333,0.176,0.256,2.2,0.176,0.248,2.44444,0.152,0.216,2.375,0.112,0.16,2.33333,0.088,0.128,2.2
67.9786,61.9793,0.56,0.376,0.288,0.192,0.432,0.8,0.192,0.28,2.18182,0.192,0.272,2.4,0.152,0.224,2.11111,0.112,0.168,2,0.088,0.136,1.83333
64.0495,56.9939,0.496,0.272,0.328,0.144,0.256,1.28571,0.144,0.232,1.63636,0.144,0.224,1.8,0.136,0.2,2.125,0.096,0.152,1.71429,0.08,0.128,1.66667
134.6476,56.9939,0.816,0.168,0.664,0.368,0.472,3.538462,0.216,0.304,2.454545,0.176,0.256,2.2,0.144,0.208,2.25,0.112,0.168,2,0.088,0.136,1.833333
69.7953,57.9234,0.488,0.152,0.304,0.184,0.288,1.76923,0.136,0.224,1.54545,0.136,0.216,1.7,0.136,0.208,1.88889,0.12,0.176,2.14286,0.096,0.144,2
118.0437,56.9939,0.504,0.184,0.312,0.152,0.256,1.461538,0.152,0.24,1.727273,0.144,0.224,1.8,0.112,0.176,1.75,0.088,0.136,1.833333,0.072,0.112,1.8
78.8366,56.9939,0.648,0.192,0.336,0.272,0.376,2.61538,0.216,0.304,2.45455,0.176,0.256,2.2,0.144,0.208,2.25,0.104,0.152,2.16667,0.08,0.12,2
59.6133,58.4304,0.496,0.312,0.344,0.152,0.264,1.35714,0.152,0.24,1.72727,0.152,0.232,1.9,0.136,0.2,2.125,0.096,0.152,1.71429,0.08,0.128,1.66667
142.3369,56.9939,0.496,0.152,0.344,0.136,0.24,1.307692,0.136,0.216,1.7,0.136,0.208,1.888889,0.128,0.192,2,0.096,0.144,2,0.08,0.12,2
147.4913,61.43004,0.896,0.208,0.688,0.432,0.544,3.857143,0.328,0.424,3.416667,0.24,0.328,2.727273,0.168,0.24,2.333333,0.136,0.192,2.428571,0.112,0.16,2.333333
84.16,81.1181,0.784,0.208,0.64,0.552,0.672,4.6,0.384,0.488,3.69231,0.16,0.256,1.66667,0.128,0.208,1.6,0.096,0.16,1.5,0.08,0.136,1.42857
70.6403,66.4577,0.688,0.144,0.584,0.528,0.632,5.07692,0.48,0.568,5.45455,0.328,0.408,4.1,0.248,0.312,3.875,0.2,0.248,4.16667,0.152,0.192,3.8
71.0206,59.1486,0.2,0.104,0.816,0.728,0.808,9.1,0.68,0.744,10.625,0.072,0.128,1.28571,0.056,0.104,1.16667,0.048,0.08,1.5,0.04,0.072,1.25
87.3287,85.9767,0.896,0.16,0.56,0.416,0.536,3.46667,0.312,0.416,3,0.248,0.344,2.58333,0.168,0.248,2.1,0.136,0.208,1.88889,0.12,0.184,1.875
86.9907,86.6527,0.856,0.336,0.512,0.4,0.512,3.57143,0.312,0.408,3.25,0.2,0.288,2.27273,0.136,0.208,1.88889,0.112,0.176,1.75,0.088,0.144,1.57143
63.7115,61.9793,0.928,0.344,0.512,0.4,0.528,3.125,0.312,0.416,3,0.24,0.336,2.5,0.176,0.256,2.2,0.136,0.2,2.125,0.12,0.176,2.14286
60.6696,59.9091,0.952,0.416,0.624,0.416,0.552,3.05882,0.336,0.448,3,0.272,0.368,2.83333,0.192,0.28,2.18182,0.16,0.232,2.22222,0.136,0.2,2.125
131.4789,58.72611,0.944,0.328,0.56,0.408,0.528,3.4,0.304,0.408,2.923077,0.232,0.328,2.416667,0.168,0.248,2.1,0.136,0.208,1.888889,0.12,0.176,2.142857
127.4652,127.2117,0.856,0.384,0.536,0.416,0.528,3.714286,0.328,0.424,3.416667,0.272,0.36,3.090909,0.144,0.216,2,0.112,0.176,1.75,0.096,0.144,2
128.4456,120.829,0.576,0.16,0.424,0.368,0.496,2.875,0.248,0.36,2.214286,0.192,0.296,1.846154,0.136,0.224,1.545455,0.096,0.168,1.333333,0.08,0.136,1.428571
128.9637,120.9326,0.576,0.152,0.424,0.36,0.48,3,0.232,0.336,2.230769,0.184,0.28,1.916667,0.136,0.216,1.7,0.096,0.16,1.5,0.08,0.136,1.428571
129.5337,98.18653,0.584,0.152,0.416,0.368,0.488,3.066667,0.224,0.328,2.153846,0.184,0.28,1.916667,0.128,0.208,1.6,0.096,0.16,1.5,0.08,0.136,1.428571
106.7358,106.6321,0.576,0.168,0.416,0.36,0.488,2.8125,0.216,0.328,1.928571,0.176,0.28,1.692308,0.128,0.216,1.454545,0.088,0.16,1.222222,0.072,0.136,1.125
130.5181,98.18653,0.576,0.16,0.416,0.36,0.48,3,0.224,0.328,2.153846,0.184,0.28,1.916667,0.128,0.208,1.6,0.096,0.16,1.5,0.072,0.128,1.285714
115.0259,114.6114,0.576,0.16,0.416,0.352,0.48,2.75,0.216,0.32,2.076923,0.176,0.28,1.692308,0.128,0.216,1.454545,0.088,0.16,1.222222,0.072,0.136,1.125
130.2073,99.2228,0.584,0.16,0.424,0.368,0.496,2.875,0.232,0.344,2.071429,0.184,0.288,1.769231,0.128,0.216,1.454545,0.088,0.16,1.222222,0.072,0.136,1.125
132.487,97.56477,0.584,0.16,0.424,0.36,0.488,2.8125,0.224,0.328,2.153846,0.184,0.288,1.769231,0.128,0.216,1.454545,0.088,0.16,1.222222,0.072,0.136,1.125
126.943,98.96373,0.584,0.16,0.416,0.36,0.488,2.8125,0.232,0.344,2.071429,0.184,0.288,1.769231,0.128,0.216,1.454545,0.088,0.16,1.222222,0.072,0.128,1.285714
104.2487,103.886,0.584,0.168,0.424,0.36,0.488,2.8125,0.232,0.344,2.071429,0.192,0.296,1.846154,0.128,0.216,1.454545,0.088,0.16,1.222222,0.072,0.136,1.125
126.4767,97.66839,0.6,0.16,0.44,0.376,0.496,3.133333,0.224,0.328,2.153846,0.184,0.28,1.916667,0.128,0.208,1.6,0.088,0.152,1.375,0.072,0.128,1.285714
98.6528,85.7513,0.2,0.064,0.144,0.12,0.16,3,0.096,0.128,3,0.08,0.104,3.33333,0.072,0.096,3,0.056,0.072,3.5,0.048,0.064,3
98.0311,76.0104,0.264,0.056,0.632,0.104,0.144,2.6,0.088,0.12,2.75,0.08,0.104,3.33333,0.064,0.08,4,0.056,0.072,3.5,0.048,0.064,3
180.2345,179.5506,0.608,0.208,0.424,0.328,0.496,1.952381,0.288,0.424,2.117647,0.248,0.376,1.9375,0.152,0.264,1.357143,0.104,0.192,1.181818,0.088,0.168,1.1
146.9717,146.0436,0.608,0.184,0.416,0.328,0.464,2.411765,0.256,0.368,2.285714,0.184,0.288,1.769231,0.12,0.208,1.363636,0.064,0.136,0.8888889,0.04,0.104,0.625
185.0212,127.2387,0.624,0.192,0.44,0.376,0.496,3.133333,0.296,0.4,2.846154,0.256,0.352,2.666667,0.192,0.264,2.666667,0.128,0.184,2.285714,0.104,0.152,2.166667
148.9254,146.0436,0.608,0.184,0.44,0.352,0.496,2.444444,0.296,0.416,2.466667,0.256,0.368,2.285714,0.192,0.288,2,0.128,0.208,1.6,0.096,0.16,1.5
134.5653,133.9792,0.632,0.168,0.448,0.368,0.496,2.875,0.272,0.376,2.615385,0.248,0.344,2.583333,0.232,0.312,2.9,0.192,0.256,3,0.144,0.2,2.571429
182.6767,125.1384,0.632,0.184,0.44,0.36,0.496,2.647059,0.296,0.416,2.466667,0.272,0.384,2.428571,0.208,0.304,2.166667,0.144,0.224,1.8,0.112,0.176,1.75
144.1876,142.3803,0.6,0.192,0.408,0.368,0.512,2.555556,0.32,0.448,2.5,0.288,0.408,2.4,0.192,0.296,1.846154,0.144,0.224,1.8,0.104,0.168,1.625
185.0212,125.6268,0.624,0.192,0.456,0.424,0.552,3.3125,0.384,0.488,3.692308,0.344,0.44,3.583333,0.264,0.336,3.666667,0.192,0.248,3.428571,0.144,0.192,3
145.5552,144.6272,0.64,0.168,0.44,0.352,0.48,2.75,0.28,0.392,2.5,0.232,0.328,2.416667,0.176,0.256,2.2,0.136,0.2,2.125,0.112,0.168,2
185.0212,126.1641,0.6,0.2,0.344,0.296,0.448,1.947368,0.264,0.392,2.0625,0.248,0.368,2.066667,0.2,0.304,1.923077,0.152,0.24,1.727273,0.12,0.192,1.666667
185.0212,126.2618,0.608,0.256,0.424,0.328,0.464,2.411765,0.272,0.384,2.428571,0.248,0.352,2.384615,0.184,0.272,2.090909,0.104,0.176,1.444444,0.08,0.136,1.428571
131.2927,130.8043,0.592,0.184,0.456,0.392,0.528,2.882353,0.312,0.424,2.785714,0.264,0.368,2.538462,0.192,0.28,2.181818,0.128,0.2,1.777778,0.104,0.168,1.625
185.0215,126.1643,0.632,0.168,0.448,0.368,0.496,2.875,0.272,0.376,2.615385,0.248,0.344,2.583333,0.232,0.312,2.9,0.192,0.256,3,0.144,0.2,2.571429
185.0215,126.262,0.632,0.184,0.44,0.36,0.496,2.647059,0.296,0.416,2.466667,0.272,0.384,2.428571,0.208,0.304,2.166667,0.144,0.224,1.8,0.112,0.176,1.75
131.293,130.8045,0.6,0.192,0.408,0.368,0.512,2.555556,0.32,0.448,2.5,0.288,0.408,2.4,0.192,0.296,1.846154,0.144,0.224,1.8,0.104,0.168,1.625
185.0215,126.0666,0.624,0.192,0.456,0.424,0.552,3.3125,0.384,0.488,3.692308,0.344,0.44,3.583333,0.264,0.336,3.666667,0.192,0.248,3.428571,0.144,0.192,3
130.0718,129.6323,0.64,0.168,0.44,0.352,0.48,2.75,0.28,0.392,2.5,0.232,0.328,2.416667,0.176,0.256,2.2,0.136,0.2,2.125,0.112,0.168,2
133.0513,124.7478,0.6,0.2,0.344,0.296,0.448,1.947368,0.264,0.392,2.0625,0.248,0.368,2.066667,0.2,0.304,1.923077,0.152,0.24,1.727273,0.12,0.192,1.666667
183.3119,120.7426,0.608,0.256,0.424,0.328,0.464,2.411765,0.272,0.384,2.428571,0.248,0.352,2.384615,0.184,0.272,2.090909,0.104,0.176,1.444444,0.08,0.136,1.428571
146.1904,143.2598,0.592,0.184,0.456,0.392,0.528,2.882353,0.312,0.424,2.785714,0.264,0.368,2.538462,0.192,0.28,2.181818,0.128,0.2,1.777778,0.104,0.168,1.625
135.2005,131.3906,0.688,0.136,0.44,0.288,0.392,2.769231,0.248,0.336,2.818182,0.216,0.296,2.7,0.144,0.208,2.25,0.104,0.152,2.166667,0.088,0.128,2.2
128.1181,127.825,0.552,0.248,0.352,0.272,0.456,1.478261,0.232,0.392,1.45,0.216,0.368,1.421053,0.168,0.304,1.235294,0.088,0.208,0.7333333,0.072,0.184,0.6428571
185.0215,124.3571,0.744,0.2,0.32,0.208,0.352,1.444444,0.184,0.304,1.533333,0.184,0.296,1.642857,0.176,0.264,2,0.168,0.24,2.333333,0.168,0.232,2.625
101.9376,53.43545,1.048,0.264,0.688,0.56,0.712,3.684211,0.44,0.56,3.666667,0.392,0.504,3.5,0.28,0.376,2.916667,0.176,0.256,2.2,0.152,0.216,2.375
73.9011,73.315,0.992,0.36,0.696,0.512,0.704,2.66667,0.392,0.56,2.33333,0.336,0.496,2.1,0.264,0.4,1.94118,0.12,0.24,1,0.096,0.208,0.857143
75.0734,73.8523,0.96,0.296,0.688,0.52,0.704,2.82609,0.4,0.56,2.5,0.344,0.496,2.26316,0.248,0.384,1.82353,0.136,0.256,1.13333,0.12,0.224,1.15385
55.3404,54.9985,1.04,0.272,0.72,0.56,0.704,3.88889,0.44,0.56,3.66667,0.376,0.488,3.35714,0.264,0.352,3,0.176,0.248,2.44444,0.152,0.216,2.375
102.6215,53.28892,0.968,0.32,0.624,0.496,0.68,2.695652,0.376,0.536,2.35,0.328,0.48,2.157895,0.232,0.36,1.8125,0.128,0.24,1.142857,0.112,0.216,1.076923
75.5618,72.8754,1.048,0.344,0.736,0.568,0.712,3.94444,0.44,0.568,3.4375,0.4,0.512,3.57143,0.296,0.392,3.08333,0.168,0.248,2.1,0.144,0.216,2
104.7218,54.55886,0.984,0.312,0.656,0.52,0.712,2.708333,0.376,0.552,2.136364,0.328,0.488,2.05,0.224,0.368,1.555556,0.12,0.248,0.9375,0.104,0.224,0.8666667
81.8139,80.3486,0.8,0.264,0.472,0.368,0.544,2.09091,0.288,0.44,1.89474,0.264,0.4,1.94118,0.208,0.32,1.85714,0.144,0.232,1.63636,0.112,0.192,1.4
80.7393,80.4951,1.032,0.328,0.472,0.384,0.576,2,0.32,0.48,2,0.288,0.432,2,0.224,0.344,1.86667,0.176,0.28,1.69231,0.152,0.24,1.72727
109.8504,60.37131,0.824,0.56,0.552,0.416,0.608,2.166667,0.32,0.472,2.105263,0.28,0.424,1.944444,0.224,0.344,1.866667,0.16,0.248,1.818182,0.12,0.192,1.666667
84.598,82.7908,1.04,0.272,0.432,0.36,0.528,2.14286,0.304,0.448,2.11111,0.272,0.408,2,0.216,0.32,2.07692,0.152,0.24,1.72727,0.112,0.184,1.55556
82.6931,82.5954,0.8,0.608,0.576,0.416,0.76,1.2093,0.328,0.504,1.86364,0.288,0.448,1.8,0.224,0.352,1.75,0.16,0.264,1.53846,0.12,0.2,1.5
119.3261,56.85454,1.048,0.224,0.52,0.368,0.536,2.190476,0.32,0.464,2.222222,0.296,0.432,2.176471,0.216,0.328,1.928571,0.136,0.224,1.545455,0.096,0.168,1.333333
173.7872,75.6106,0.88,0.192,0.48,0.368,0.52,2.421053,0.288,0.424,2.117647,0.256,0.376,2.133333,0.152,0.256,1.461538,0.104,0.184,1.3,0.088,0.152,1.375
112.7712,109.0785,0.864,0.4,0.608,0.408,0.632,1.821429,0.312,0.488,1.772727,0.28,0.44,1.75,0.208,0.336,1.625,0.112,0.216,1.076923,0.088,0.168,1.1
183.2238,80.1824,0.864,0.256,0.656,0.456,0.632,2.590909,0.344,0.496,2.263158,0.304,0.44,2.235294,0.232,0.344,2.071429,0.136,0.224,1.545455,0.096,0.176,1.2
112.0678,110.7783,0.864,0.208,0.584,0.344,0.496,2.263158,0.272,0.408,2,0.256,0.384,2,0.216,0.32,2.076923,0.12,0.2,1.5,0.088,0.16,1.222222
179.1795,77.19315,0.888,0.28,0.616,0.44,0.608,2.619048,0.344,0.488,2.388889,0.304,0.432,2.375,0.224,0.336,2,0.128,0.216,1.454545,0.096,0.168,1.333333
110.8955,109.2544,0.872,0.272,0.52,0.376,0.552,2.136364,0.288,0.44,1.894737,0.248,0.384,1.823529,0.16,0.28,1.333333,0.088,0.184,0.9166667,0.072,0.152,0.9
167.2811,74.49696,0.864,0.352,0.664,0.464,0.648,2.521739,0.352,0.512,2.2,0.312,0.464,2.052632,0.24,0.376,1.764706,0.152,0.256,1.461538,0.104,0.192,1.181818
109.4302,105.0929,0.848,0.2,0.528,0.416,0.576,2.6,0.328,0.464,2.411765,0.296,0.424,2.3125,0.224,0.336,2,0.136,0.232,1.416667,0.096,0.176,1.2
154.738,69.92515,0.888,0.216,0.688,0.456,0.624,2.714286,0.344,0.488,2.388889,0.296,0.432,2.176471,0.224,0.336,2,0.16,0.248,1.818182,0.104,0.184,1.3
102.6311,100.6969,0.896,0.2,0.624,0.392,0.552,2.45,0.304,0.44,2.235294,0.272,0.4,2.125,0.208,0.312,2,0.128,0.216,1.454545,0.096,0.168,1.333333
142.4879,66.11531,0.88,0.272,0.424,0.36,0.528,2.142857,0.288,0.432,2,0.256,0.392,1.882353,0.192,0.304,1.714286,0.104,0.192,1.181818,0.08,0.16,1
95.1287,92.3739,0.888,0.456,0.552,0.408,0.608,2.04,0.312,0.48,1.85714,0.28,0.432,1.84211,0.208,0.336,1.625,0.128,0.232,1.23077,0.096,0.184,1.09091
136.6266,63.06745,0.888,0.336,0.624,0.384,0.56,2.181818,0.304,0.456,2,0.272,0.416,1.888889,0.2,0.32,1.666667,0.12,0.216,1.25,0.096,0.176,1.2
96.8871,93.8978,0.896,0.264,0.48,0.384,0.536,2.52632,0.296,0.424,2.3125,0.256,0.376,2.13333,0.192,0.288,2,0.128,0.208,1.6,0.096,0.16,1.5
109.4302,104.0378,0.864,0.192,0.632,0.464,0.616,3.052632,0.328,0.464,2.411765,0.296,0.424,2.3125,0.248,0.36,2.214286,0.128,0.224,1.333333,0.096,0.184,1.090909
173.3183,71.0388,0.864,0.232,0.536,0.416,0.584,2.47619,0.304,0.456,2,0.256,0.4,1.777778,0.136,0.264,1.0625,0.096,0.2,0.9230769,0.08,0.168,0.9090909
107.5546,99.52465,0.856,0.328,0.576,0.464,0.624,2.9,0.344,0.48,2.529412,0.296,0.424,2.3125,0.192,0.312,1.6,0.104,0.208,1,0.088,0.176,1
183.8686,76.90008,0.856,0.28,0.536,0.416,0.672,1.625,0.296,0.44,2.055556,0.248,0.376,1.9375,0.128,0.24,1.142857,0.096,0.192,1,0.08,0.168,0.9090909
182.6377,182.286,0.88,0.32,0.688,0.64,0.8,4,0.528,0.672,3.666667,0.4,0.536,2.941176,0.248,0.368,2.066667,0.136,0.232,1.416667,0.112,0.192,1.4
112.5367,106.6168,0.864,0.192,0.64,0.44,0.592,2.894737,0.336,0.472,2.470588,0.304,0.432,2.375,0.24,0.352,2.142857,0.12,0.216,1.25,0.088,0.176,1
177.3039,69.92515,0.848,0.224,0.64,0.408,0.592,2.217391,0.312,0.48,1.857143,0.264,0.424,1.65,0.136,0.272,1,0.088,0.208,0.7333333,0.072,0.176,0.6923077
69.9252,69.046,0.656,0.312,0.432,0.272,0.456,1.47826,0.272,0.432,1.7,0.272,0.416,1.88889,0.192,0.32,1.5,0.128,0.232,1.23077,0.088,0.176,1
147.8803,62.36409,0.856,0.224,0.56,0.392,0.56,2.333333,0.296,0.44,2.055556,0.256,0.392,1.882353,0.176,0.288,1.571429,0.112,0.208,1.166667,0.08,0.16,1
92.0222,88.1538,0.84,0.296,0.624,0.432,0.592,2.7,0.312,0.448,2.29412,0.288,0.416,2.25,0.232,0.336,2.23077,0.152,0.24,1.72727,0.112,0.184,1.55556
147.5286,67.81509,0.656,0.216,0.464,0.368,0.536,2.190476,0.32,0.464,2.222222,0.296,0.432,2.176471,0.192,0.304,1.714286,0.128,0.216,1.454545,0.104,0.184,1.3
88.2124,84.0509,0.68,0.192,0.448,0.416,0.56,2.88889,0.304,0.424,2.53333,0.272,0.384,2.42857,0.224,0.312,2.54545,0.152,0.224,2.11111,0.12,0.184,1.875
148.7008,60.37125,0.872,0.232,0.688,0.592,0.776,3.217391,0.376,0.536,2.35,0.328,0.472,2.277778,0.224,0.352,1.75,0.112,0.216,1.076923,0.088,0.176,1
92.198,89.4432,0.672,0.184,0.424,0.352,0.504,2.31579,0.28,0.408,2.1875,0.24,0.36,2,0.152,0.248,1.58333,0.08,0.16,1,0.056,0.128,0.777778
152.2176,65.23612,0.864,0.248,0.52,0.448,0.616,2.666667,0.376,0.528,2.473684,0.32,0.456,2.352941,0.248,0.368,2.066667,0.136,0.24,1.307692,0.104,0.192,1.181818
161.7129,88.79849,0.792,0.184,0.608,0.432,0.576,3,0.32,0.44,2.666667,0.272,0.384,2.428571,0.144,0.24,1.5,0.096,0.176,1.2,0.08,0.152,1.111111
98.2938,76.0209,0.792,0.184,0.632,0.432,0.568,3.17647,0.32,0.44,2.66667,0.28,0.392,2.5,0.152,0.248,1.58333,0.104,0.184,1.3,0.08,0.152,1.11111
76.1967,69.9838,0.784,0.16,0.608,0.448,0.576,3.5,0.32,0.424,3.07692,0.28,0.376,2.91667,0.128,0.208,1.6,0.096,0.168,1.33333,0.08,0.144,1.25
162.1232,86.27814,0.8,0.176,0.576,0.424,0.552,3.3125,0.32,0.432,2.857143,0.28,0.384,2.692308,0.144,0.232,1.636364,0.104,0.176,1.444444,0.088,0.144,1.571429
